key,date,time_rd,lottery,draw,result,best_signal,best_a11,ok_alert,hits_quiniela_topq,hits_quiniela_top12,pale_hits,source_rows_hist_used
2026-04-12|Anguilla|Anguila 9PM|2026-04-12 21:00,2026-04-12,2026-04-12 21:00,Anguilla,Anguila 9PM,29-26-22,0.0015500316699686755,11,False,0,0,0,7949.0
2026-04-13|Anguilla|Anguila 10AM|2026-04-13 10:00,2026-04-13,2026-04-13 10:00,Anguilla,Anguila 10AM,42-37-36,0.006375085789028572,14,True,0,0,0,0.0
2026-04-13|La Primera|Quiniela La Primera|2026-04-13 12:00,2026-04-13,2026-04-13 12:00,La Primera,Quiniela La Primera,00-71-79,0.02858996796647827,2,False,0,0,0,64.0
2026-04-13|Anguilla|Anguila 6PM|2026-04-13 18:00,2026-04-13,2026-04-13 18:00,Anguilla,Anguila 6PM,67-94-50,0.004582597124379033,7,False,0,0,0,2446.0
2026-04-13|La Suerte|Quiniela La Suerte 6PM|2026-04-13 18:00,2026-04-13,2026-04-13 18:00,La Suerte,Quiniela La Suerte 6PM,75-92-70,0.0006023308618652482,7,False,1,1,0,2446.0
2026-04-13|La Primera|Quiniela La Primera Noche|2026-04-13 19:00,2026-04-13,2026-04-13 19:00,La Primera,Quiniela La Primera Noche,19-11-66,0.002824676247374204,8,False,0,0,0,4704.0
2026-04-13|Anguilla|Anguila 9PM|2026-04-13 21:00,2026-04-13,2026-04-13 21:00,Anguilla,Anguila 9PM,05-01-70,0.0035454694842076842,5,False,0,1,0,5390.0
2026-04-13|La Nacional|Loteria Nacional- Noche|2026-04-13 21:00,2026-04-13,2026-04-13 21:00,La Nacional,Loteria Nacional- Noche,40-42-68,0.0006602493548370941,12,False,0,0,0,5390.0
2026-04-14|Anguilla|Anguila 10AM|2026-04-14 10:00,2026-04-14,2026-04-14 10:00,Anguilla,Anguila 10AM,79-77-99,0.006357989315091148,14,True,0,0,0,0.0
2026-04-14|La Primera|Quiniela La Primera|2026-04-14 12:00,2026-04-14,2026-04-14 12:00,La Primera,Quiniela La Primera,39-54-50,0.0,0,False,0,0,0,85.0
2026-04-14|La Suerte|Quiniela La Suerte|2026-04-14 12:30,2026-04-14,2026-04-14 12:30,La Suerte,Quiniela La Suerte,71-63-00,0.005529339410103947,1,False,0,2,0,363.0
2026-04-14|Anguilla|Anguila 1PM|2026-04-14 13:00,2026-04-14,2026-04-14 13:00,Anguilla,Anguila 1PM,98-76-58,0.008225707830632655,6,False,0,0,0,883.0
2026-04-14|La Nacional|Loteria Nacional- Gana Más|2026-04-14 14:30,2026-04-14,2026-04-14 14:30,La Nacional,Loteria Nacional- Gana Más,61-03-84,0.0016262989767721761,4,False,0,0,0,1469.0
2026-04-14|Anguilla|Anguila 6PM|2026-04-14 18:00,2026-04-14,2026-04-14 18:00,Anguilla,Anguila 6PM,65-28-47,0.004730845440651807,6,False,0,0,0,2622.0
2026-04-14|La Suerte|Quiniela La Suerte 6PM|2026-04-14 18:00,2026-04-14,2026-04-14 18:00,La Suerte,Quiniela La Suerte 6PM,32-47-42,0.0013254762195539045,7,False,0,0,0,2622.0
2026-04-14|La Primera|Quiniela La Primera Noche|2026-04-14 19:00,2026-04-14,2026-04-14 19:00,La Primera,Quiniela La Primera Noche,07-85-74,0.0032775935337819935,10,False,0,0,0,4729.0
2026-04-14|Anguilla|Anguila 9PM|2026-04-14 21:00,2026-04-14,2026-04-14 21:00,Anguilla,Anguila 9PM,36-96-93,0.0019595864712815035,11,False,0,0,0,6256.0
2026-04-14|La Nacional|Loteria Nacional- Noche|2026-04-14 21:00,2026-04-14,2026-04-14 21:00,La Nacional,Loteria Nacional- Noche,37-37-14,0.0009122859232145996,13,False,0,0,0,6256.0
2026-04-15|La Primera|Quiniela La Primera|2026-04-15 12:00,2026-04-15,2026-04-15 12:00,La Primera,Quiniela La Primera,55-49-59,0.002420957989272882,0,False,0,0,0,76.0
2026-04-15|La Suerte|Quiniela La Suerte|2026-04-15 12:30,2026-04-15,2026-04-15 12:30,La Suerte,Quiniela La Suerte,89-55-30,0.005513020903819731,0,False,1,1,0,281.0
2026-04-15|La Nacional|Loteria Nacional- Gana Más|2026-04-15 14:30,2026-04-15,2026-04-15 14:30,La Nacional,Loteria Nacional- Gana Más,51-53-18,0.0044634361789717,5,False,0,0,0,1193.0
2026-04-15|Anguilla|Anguila 6PM|2026-04-15 18:00,2026-04-15,2026-04-15 18:00,Anguilla,Anguila 6PM,29-66-56,0.0014525069504871166,3,False,0,1,0,2304.0
2026-04-15|La Suerte|Quiniela La Suerte 6PM|2026-04-15 18:00,2026-04-15,2026-04-15 18:00,La Suerte,Quiniela La Suerte 6PM,21-00-79,0.0035905972335891693,8,False,0,1,0,2304.0
2026-04-15|La Primera|Quiniela La Primera Noche|2026-04-15 19:00,2026-04-15,2026-04-15 19:00,La Primera,Quiniela La Primera Noche,73-93-08,0.001483943316076132,11,False,0,0,0,4499.0
2026-04-15|Anguilla|Anguila 9PM|2026-04-15 21:00,2026-04-15,2026-04-15 21:00,Anguilla,Anguila 9PM,32-82-15,0.0015978779365049746,8,False,0,1,0,6019.0
2026-04-15|La Nacional|Loteria Nacional- Noche|2026-04-15 21:00,2026-04-15,2026-04-15 21:00,La Nacional,Loteria Nacional- Noche,27-61-21,0.0020806295182340426,12,False,0,1,0,6019.0
2026-04-16|Anguilla|Anguila 10AM|2026-04-16 10:00,2026-04-16,2026-04-16 10:00,Anguilla,Anguila 10AM,50-26-83,0.006367339059283051,14,True,0,1,0,0.0
2026-04-16|La Primera|Quiniela La Primera|2026-04-16 12:00,2026-04-16,2026-04-16 12:00,La Primera,Quiniela La Primera,43-36-73,0.028397997100266564,2,False,0,0,0,71.0
